filename, language, JavaScript, JSON, Properties, Groovy, Batch, Objective-C, C++, XML, Java, comment, blank, total
/Users/rasheenruwisha/final-year-proj/mobilestore/.eslintrc.js, JavaScript, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
/Users/rasheenruwisha/final-year-proj/mobilestore/.gitattributes, Properties, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
/Users/rasheenruwisha/final-year-proj/mobilestore/.prettierrc.js, JavaScript, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
/Users/rasheenruwisha/final-year-proj/mobilestore/.watchmanconfig, JSON, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
/Users/rasheenruwisha/final-year-proj/mobilestore/App.js, JavaScript, 28, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 38
/Users/rasheenruwisha/final-year-proj/mobilestore/__tests__/App-test.js, JavaScript, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 15
/Users/rasheenruwisha/final-year-proj/mobilestore/actions/authActions.js, JavaScript, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 93
/Users/rasheenruwisha/final-year-proj/mobilestore/actions/businessActions.js, JavaScript, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
/Users/rasheenruwisha/final-year-proj/mobilestore/actions/cartActions.js, JavaScript, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 125
/Users/rasheenruwisha/final-year-proj/mobilestore/actions/categoryActions.js, JavaScript, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
/Users/rasheenruwisha/final-year-proj/mobilestore/actions/errorActions.js, JavaScript, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
/Users/rasheenruwisha/final-year-proj/mobilestore/actions/orderActions.js, JavaScript, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
/Users/rasheenruwisha/final-year-proj/mobilestore/actions/productActions.js, JavaScript, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
/Users/rasheenruwisha/final-year-proj/mobilestore/actions/types.js, JavaScript, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
/Users/rasheenruwisha/final-year-proj/mobilestore/android/app/build.gradle, Groovy, 0, 0, 0, 80, 0, 0, 0, 0, 0, 108, 18, 206
/Users/rasheenruwisha/final-year-proj/mobilestore/android/app/src/debug/AndroidManifest.xml, XML, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
/Users/rasheenruwisha/final-year-proj/mobilestore/android/app/src/main/AndroidManifest.xml, XML, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 4, 27
/Users/rasheenruwisha/final-year-proj/mobilestore/android/app/src/main/java/com/mobilestore/MainActivity.java, Java, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 4, 16
/Users/rasheenruwisha/final-year-proj/mobilestore/android/app/src/main/java/com/mobilestore/MainApplication.java, Java, 0, 0, 0, 0, 0, 0, 0, 0, 57, 11, 9, 77
/Users/rasheenruwisha/final-year-proj/mobilestore/android/app/src/main/res/values/strings.xml, XML, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
/Users/rasheenruwisha/final-year-proj/mobilestore/android/app/src/main/res/values/styles.xml, XML, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 3, 10
/Users/rasheenruwisha/final-year-proj/mobilestore/android/build.gradle, Groovy, 0, 0, 0, 29, 0, 0, 0, 0, 0, 5, 5, 39
/Users/rasheenruwisha/final-year-proj/mobilestore/android/gradle.properties, Properties, 0, 0, 2, 0, 0, 0, 0, 0, 0, 14, 6, 22
/Users/rasheenruwisha/final-year-proj/mobilestore/android/gradle/wrapper/gradle-wrapper.properties, Properties, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
/Users/rasheenruwisha/final-year-proj/mobilestore/android/gradlew.bat, Batch, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 25, 101
