Date : 2020-03-20 13:47:22
Directory : /Users/rasheenruwisha/final-year-proj/mobilestore
Total : 72 files,  14089 codes, 278 comments, 722 blanks, all 15089 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| JSON        |          6 |      9,570 |          0 |          4 |      9,574 |
| JavaScript  |         48 |      4,084 |        110 |        603 |      4,797 |
| Groovy      |          3 |        116 |        113 |         23 |        252 |
| Objective-C |          3 |         86 |         18 |         29 |        133 |
| XML         |          5 |         79 |          2 |         12 |         93 |
| Batch       |          1 |         76 |          0 |         25 |        101 |
| Java        |          2 |         65 |         15 |         13 |         93 |
| Properties  |          3 |          8 |         14 |          8 |         30 |
| C++         |          1 |          5 |          6 |          5 |         16 |
+-------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |         72 |     14,089 |        278 |        722 |     15,089 |
| __tests__                                                                                                          |          1 |          7 |          4 |          4 |         15 |
| actions                                                                                                            |          8 |        332 |          0 |         57 |        389 |
| android                                                                                                            |         12 |        301 |        144 |         79 |        524 |
| android/app                                                                                                        |          7 |        182 |        125 |         42 |        349 |
| android/app/src                                                                                                    |          6 |        102 |         17 |         24 |        143 |
| android/app/src/debug                                                                                              |          1 |          6 |          0 |          3 |          9 |
| android/app/src/main                                                                                               |          5 |         96 |         17 |         21 |        134 |
| android/app/src/main/java                                                                                          |          2 |         65 |         15 |         13 |         93 |
| android/app/src/main/java/com                                                                                      |          2 |         65 |         15 |         13 |         93 |
| android/app/src/main/java/com/mobilestore                                                                          |          2 |         65 |         15 |         13 |         93 |
| android/app/src/main/res                                                                                           |          2 |          8 |          2 |          4 |         14 |
| android/app/src/main/res/values                                                                                    |          2 |          8 |          2 |          4 |         14 |
| android/gradle                                                                                                     |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                             |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                                |          7 |        192 |         24 |         36 |        252 |
| ios/mobilestore                                                                                                    |          6 |        141 |         18 |         20 |        179 |
| ios/mobilestore/Base.lproj                                                                                         |          1 |         42 |          0 |          1 |         43 |
| ios/mobilestore/Images.xcassets                                                                                    |          2 |         59 |          0 |          1 |         60 |
| ios/mobilestore/Images.xcassets/AppIcon.appiconset                                                                 |          1 |         53 |          0 |          0 |         53 |
| ios/mobilestoreTests                                                                                               |          1 |         51 |          6 |         16 |         73 |
| layout                                                                                                             |         22 |      3,344 |         93 |        497 |      3,934 |
| layout/aboutus                                                                                                     |          2 |        220 |          7 |         38 |        265 |
| layout/cart                                                                                                        |          2 |        229 |         10 |         35 |        274 |
| layout/categories                                                                                                  |          1 |         73 |         10 |         13 |         96 |
| layout/checkout                                                                                                    |          2 |        761 |         10 |        153 |        924 |
| layout/checkoutStatus                                                                                              |          2 |        167 |          7 |         28 |        202 |
| layout/home                                                                                                        |          2 |        157 |          7 |         23 |        187 |
| layout/loader                                                                                                      |          2 |        158 |          7 |         24 |        189 |
| layout/login                                                                                                       |          2 |        197 |          7 |         29 |        233 |
| layout/navigation                                                                                                  |          1 |        284 |          0 |         20 |        304 |
| layout/orders                                                                                                      |          1 |         99 |          7 |         16 |        122 |
| layout/products                                                                                                    |          3 |        786 |         14 |         80 |        880 |
| layout/register                                                                                                    |          2 |        213 |          7 |         38 |        258 |
| reducers                                                                                                           |          8 |        303 |          0 |         23 |        326 |
| store                                                                                                              |          1 |          9 |          0 |          4 |         13 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                                                                                           | language    | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| /Users/rasheenruwisha/final-year-proj/mobilestore/.eslintrc.js                                                     | JavaScript  |          4 |          0 |          1 |          5 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/.gitattributes                                                   | Properties  |          1 |          0 |          1 |          2 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/.prettierrc.js                                                   | JavaScript  |          6 |          0 |          1 |          7 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/.watchmanconfig                                                  | JSON        |          1 |          0 |          0 |          1 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/App.js                                                           | JavaScript  |         28 |          4 |          6 |         38 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/__tests__/App-test.js                                            | JavaScript  |          7 |          4 |          4 |         15 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/actions/authActions.js                                           | JavaScript  |         81 |          0 |         12 |         93 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/actions/businessActions.js                                       | JavaScript  |         22 |          0 |          3 |         25 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/actions/cartActions.js                                           | JavaScript  |        107 |          0 |         18 |        125 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/actions/categoryActions.js                                       | JavaScript  |         19 |          0 |          4 |         23 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/actions/errorActions.js                                          | JavaScript  |         12 |          0 |          2 |         14 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/actions/orderActions.js                                          | JavaScript  |         30 |          0 |          6 |         36 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/actions/productActions.js                                        | JavaScript  |         33 |          0 |          6 |         39 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/actions/types.js                                                 | JavaScript  |         28 |          0 |          6 |         34 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/android/app/build.gradle                                         | Groovy      |         80 |        108 |         18 |        206 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/android/app/src/debug/AndroidManifest.xml                        | XML         |          6 |          0 |          3 |          9 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/android/app/src/main/AndroidManifest.xml                         | XML         |         23 |          0 |          4 |         27 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/android/app/src/main/java/com/mobilestore/MainActivity.java      | Java        |          8 |          4 |          4 |         16 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/android/app/src/main/java/com/mobilestore/MainApplication.java   | Java        |         57 |         11 |          9 |         77 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/android/app/src/main/res/values/strings.xml                      | XML         |          3 |          0 |          1 |          4 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/android/app/src/main/res/values/styles.xml                       | XML         |          5 |          2 |          3 |         10 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/android/build.gradle                                             | Groovy      |         29 |          5 |          5 |         39 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/android/gradle.properties                                        | Properties  |          2 |         14 |          6 |         22 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/android/gradle/wrapper/gradle-wrapper.properties                 | Properties  |          5 |          0 |          1 |          6 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/android/gradlew.bat                                              | Batch       |         76 |          0 |         25 |        101 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/android/settings.gradle                                          | Groovy      |          7 |          0 |          0 |          7 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/app.json                                                         | JSON        |          4 |          0 |          1 |          5 |
| /Users/rasheenruwisha/final-year-proj/mobilestore/babel.config.js                                                  | JavaScript  |          3 |          0 |          1 |          4 |
